name,value,year,lastValue,rank
PlayStation 3,13863548,2010.4,13847772,3
Xbox 360,13575114,2010.4,13556072,4
Playstation Portable,9402070,2010.4,9388188,5
Nintendo Wii U,NA,2010.4,NA,6
PlayStation Vita,NA,2010.4,NA,7
Nintendo 3DS,NA,2010.4,NA,8
Xbox One,NA,2010.4,NA,9
Nintendo Switch,NA,2010.4,NA,10
PlayStation 4,NA,2010.4,NA,11
Nintendo DS,20595885,2010.5,20577947,1
Nintendo Wii,17304869,2010.5,17301977,2
PlayStation 3,13879496,2010.5,13863548,3
Xbox 360,13584618,2010.5,13575114,4
Playstation Portable,9410751,2010.5,9402070,5
Nintendo Wii U,NA,2010.5,NA,6
PlayStation Vita,NA,2010.5,NA,7
Nintendo 3DS,NA,2010.5,NA,8
Xbox One,NA,2010.5,NA,9
Nintendo Switch,NA,2010.5,NA,10
PlayStation 4,NA,2010.5,NA,11
Nintendo DS,20600015,2010.6,20595885,1
Nintendo Wii,17312618,2010.6,17304869,2
PlayStation 3,13894678,2010.6,13879496,3
Xbox 360,13585757,2010.6,13584618,4
Playstation Portable,9430739,2010.6,9410751,5
Nintendo Wii U,NA,2010.6,NA,6
PlayStation Vita,NA,2010.6,NA,7
Nintendo 3DS,NA,2010.6,NA,8
Xbox One,NA,2010.6,NA,9
Nintendo Switch,NA,2010.6,NA,10
PlayStation 4,NA,2010.6,NA,11
Nintendo DS,20602933,2010.7,20600015,1
Nintendo Wii,17323431,2010.7,17312618,2
PlayStation 3,13910773,2010.7,13894678,3
Xbox 360,13588044,2010.7,13585757,4
Playstation Portable,9431167,2010.7,9430739,5
Nintendo Wii U,NA,2010.7,NA,6
PlayStation Vita,NA,2010.7,NA,7
Nintendo 3DS,NA,2010.7,NA,8
Xbox One,NA,2010.7,NA,9
Nintendo Switch,NA,2010.7,NA,10
PlayStation 4,NA,2010.7,NA,11
Nintendo DS,20609406,2010.8,20602933,1
Nintendo Wii,17334599,2010.8,17323431,2
PlayStation 3,13916936,2010.8,13910773,3
Xbox 360,13590174,2010.8,13588044,4
Playstation Portable,9432034,2010.8,9431167,5
Nintendo Wii U,NA,2010.8,NA,6
PlayStation Vita,NA,2010.8,NA,7
Nintendo 3DS,NA,2010.8,NA,8
Xbox One,NA,2010.8,NA,9
Nintendo Switch,NA,2010.8,NA,10
PlayStation 4,NA,2010.8,NA,11
Nintendo DS,20611954,2010.9,20609406,1
Nintendo Wii,17337775,2010.9,17334599,2
PlayStation 3,13918216,2010.9,13916936,3
Xbox 360,13604542,2010.9,13590174,4
Playstation Portable,9448832,2010.9,9432034,5
Nintendo Wii U,NA,2010.9,NA,6
PlayStation Vita,NA,2010.9,NA,7
Nintendo 3DS,NA,2010.9,NA,8
Xbox One,NA,2010.9,NA,9
Nintendo Switch,NA,2010.9,NA,10
PlayStation 4,NA,2010.9,NA,11
PlayStation 3,14420000,2011,13918216,1
Xbox 360,13950000,2011,13604542,2
Nintendo 3DS,12560000,2011,NA,3
Nintendo Wii,11490000,2011,17337775,4
Nintendo DS,8760000,2011,20611954,5
Playstation Portable,7380000,2011,9448832,6
PlayStation Vita,480000,2011,NA,7
Nintendo Wii U,NA,2011,NA,8
Xbox One,NA,2011,NA,9
Nintendo Switch,NA,2011,NA,10
PlayStation 4,NA,2011,NA,11
PlayStation 3,14422437,2011.1,14420000,1
Xbox 360,13954444,2011.1,13950000,2
Nintendo 3DS,12578005,2011.1,12560000,3
Nintendo Wii,11504200,2011.1,11490000,4
Nintendo DS,8779818,2011.1,8760000,5
Playstation Portable,7395739,2011.1,7380000,6
PlayStation Vita,499653,2011.1,480000,7
Nintendo Wii U,NA,2011.1,NA,8
Xbox One,NA,2011.1,NA,9
Nintendo Switch,NA,2011.1,NA,10
PlayStation 4,NA,2011.1,NA,11
PlayStation 3,14437981,2011.2,14422437,1
Xbox 360,13966997,2011.2,13954444,2
Nintendo 3DS,12596583,2011.2,12578005,3
Nintendo Wii,11519028,2011.2,11504200,4
Nintendo DS,8788620,2011.2,8779818,5
Playstation Portable,7413496,2011.2,7395739,6
PlayStation Vita,501801,2011.2,499653,7
Nintendo Wii U,NA,2011.2,NA,8
Xbox One,NA,2011.2,NA,9
Nintendo Switch,NA,2011.2,NA,10
PlayStation 4,NA,2011.2,NA,11
PlayStation 3,14441670,2011.3,14437981,1
Xbox 360,13978627,2011.3,13966997,2
Nintendo 3DS,12614340,2011.3,12596583,3
Nintendo Wii,11532623,2011.3,11519028,4
Nintendo DS,8800807,2011.3,8788620,5
Playstation Portable,7413850,2011.3,7413496,6
PlayStation Vita,513523,2011.3,501801,7
Nintendo Wii U,NA,2011.3,NA,8
Xbox One,NA,2011.3,NA,9
Nintendo Switch,NA,2011.3,NA,10
PlayStation 4,NA,2011.3,NA,11
PlayStation 3,14442875,2011.4,14441670,1
Xbox 360,13986463,2011.4,13978627,2
Nintendo 3DS,12629790,2011.4,12614340,3
Nintendo Wii,11537929,2011.4,11532623,4
Nintendo DS,8807614,2011.4,8800807,5
Playstation Portable,7418757,2011.4,7413850,6
PlayStation Vita,515159,2011.4,513523,7
Nintendo Wii U,NA,2011.4,NA,8
Xbox One,NA,2011.4,NA,9
Nintendo Switch,NA,2011.4,NA,10
PlayStation 4,NA,2011.4,NA,11
PlayStation 3,14445473,2011.5,14442875,1
Xbox 360,14004967,2011.5,13986463,2
Nintendo 3DS,12649316,2011.5,12629790,3
Nintendo Wii,11539024,2011.5,11537929,4
Nintendo DS,8808214,2011.5,8807614,5
Playstation Portable,7436789,2011.5,7418757,6
PlayStation Vita,525194,2011.5,515159,7
Nintendo Wii U,NA,2011.5,NA,8
Xbox One,NA,2011.5,NA,9
Nintendo Switch,NA,2011.5,NA,10
PlayStation 4,NA,2011.5,NA,11
PlayStation 3,14460091,2011.6,14445473,1
Xbox 360,14024595,2011.6,14004967,2
Nintendo 3DS,12663383,2011.6,12649316,3
Nintendo Wii,11554878,2011.6,11539024,4
Nintendo DS,8828089,2011.6,8808214,5
Playstation Portable,7456404,2011.6,7436789,6
PlayStation Vita,531119,2011.6,525194,7
Nintendo Wii U,NA,2011.6,NA,8
Xbox One,NA,2011.6,NA,9
Nintendo Switch,NA,2011.6,NA,10
PlayStation 4,NA,2011.6,NA,11
PlayStation 3,14465190,2011.7,14460091,1
Xbox 360,14043841,2011.7,14024595,2
Nintendo 3DS,12671247,2011.7,12663383,3
Nintendo Wii,11563030,2011.7,11554878,4
Nintendo DS,8844242,2011.7,8828089,5
Playstation Portable,7457655,2011.7,7456404,6
PlayStation Vita,548076,2011.7,531119,7
Nintendo Wii U,NA,2011.7,NA,8
Xbox One,NA,2011.7,NA,9
Nintendo Switch,NA,2011.7,NA,10
PlayStation 4,NA,2011.7,NA,11
PlayStation 3,14481441,2011.8,14465190,1
Xbox 360,14049515,2011.8,14043841,2
Nintendo 3DS,12686351,2011.8,12671247,3
Nintendo Wii,11576453,2011.8,11563030,4
Nintendo DS,8858486,2011.8,8844242,5
Playstation Portable,7475849,2011.8,7457655,6
PlayStation Vita,551949,2011.8,548076,7
Nintendo Wii U,NA,2011.8,NA,8
Xbox One,NA,2011.8,NA,9
Nintendo Switch,NA,2011.8,NA,10
PlayStation 4,NA,2011.8,NA,11
PlayStation 3,14487851,2011.9,14481441,1
Xbox 360,14053815,2011.9,14049515,2
Nintendo 3DS,12690009,2011.9,12686351,3
Nintendo Wii,11593342,2011.9,11576453,4
Nintendo DS,8876673,2011.9,8858486,5
Playstation Portable,7484583,2011.9,7475849,6
PlayStation Vita,558128,2011.9,551949,7
Nintendo Wii U,NA,2011.9,NA,8
Xbox One,NA,2011.9,NA,9
Nintendo Switch,NA,2011.9,NA,10
PlayStation 4,NA,2011.9,NA,11
Nintendo 3DS,13480000,2012,12690009,1
PlayStation 3,11970000,2012,14487851,2
Xbox 360,10690000,2012,14053815,3
Nintendo Wii,5080000,2012,11593342,4
Playstation Portable,4220000,2012,7484583,5
PlayStation Vita,3690000,2012,558128,6
Nintendo DS,3010000,2012,8876673,7
Nintendo Wii U,2170000,2012,NA,8
Xbox One,NA,2012,NA,9
Nintendo Switch,NA,2012,NA,10
PlayStation 4,NA,2012,NA,11
Nintendo 3DS,13483451,2012.1,13480000,1
PlayStation 3,11975434,2012.1,11970000,2
Xbox 360,10703951,2012.1,10690000,3
Nintendo Wii,5083480,2012.1,5080000,4
Playstation Portable,4234727,2012.1,4220000,5
PlayStation Vita,3690996,2012.1,3690000,6
Nintendo DS,3010120,2012.1,3010000,7
Nintendo Wii U,2185208,2012.1,2170000,8
Xbox One,NA,2012.1,NA,9
Nintendo Switch,NA,2012.1,NA,10
PlayStation 4,NA,2012.1,NA,11
Nintendo 3DS,13493805,2012.2,13483451,1
PlayStation 3,11981533,2012.2,11975434,2
Xbox 360,10704570,2012.2,10703951,3
Nintendo Wii,5087475,2012.2,5083480,4
Playstation Portable,4250897,2012.2,4234727,5
PlayStation Vita,3703492,2012.2,3690996,6
Nintendo DS,3013439,2012.2,3010120,7
